day,n_posts,score_mean,score_std,score_var,score_median,score_std_roll
2026-01-22,1,0.7998,,,0.7998,
2026-01-23,1,0.9767,,,0.9767,
2026-01-25,1,0.938,,,0.938,
2026-02-06,1,0.5192,,,0.5192,
2026-02-07,1,0.9924,,,0.9924,
2026-02-08,1,-0.901,,,-0.901,
2026-02-09,1,0.8688,,,0.8688,
2026-02-11,1,0.34,,,0.34,
2026-02-13,2,0.97355,0.020152543263816585,0.00040612499999999915,0.97355,
2026-02-14,1,0.9993,,,0.9993,
2026-02-15,1,0.9643,,,0.9643,
2026-02-17,1,0.9961,,,0.9961,
2026-02-18,1,0.9725,,,0.9725,
2026-02-19,1,0.9382,,,0.9382,
2026-02-20,2,0.8587499999999999,0.060457629791449786,0.003655124999999997,0.8587499999999999,
2026-02-21,1,-0.278,,,-0.278,
2026-02-23,1,0.302,,,0.302,
2026-02-25,1,0.9812,,,0.9812,
2026-03-01,3,0.40986666666666666,0.5089912114499948,0.25907205333333333,0.25,0.2847244206207223
