day,n_posts,score_mean,score_std,score_var,score_median,score_std_roll
2026-02-05,1,-0.779,,,-0.779,
2026-02-07,1,-0.2853,,,-0.2853,
2026-02-09,1,-0.6872,,,-0.6872,
2026-02-10,1,0.8513,,,0.8513,
2026-02-12,1,0.9813,,,0.9813,
2026-02-13,3,0.16360000000000005,0.989740228544844,0.9795857200000001,0.4774,
2026-02-15,1,-0.3326,,,-0.3326,
2026-02-16,1,0.4767,,,0.4767,
2026-02-17,2,-0.14675,0.38855517626200786,0.150975125,-0.14675,0.6891477024034259
2026-02-18,1,0.9941,,,0.9941,0.6891477024034259
2026-02-21,3,0.3560666666666667,0.8603762277825517,0.7402472533333334,0.7622,0.6244657020222798
2026-02-22,1,0.9837,,,0.9837,0.6244657020222798
2026-02-24,1,0.9279,,,0.9279,0.6244657020222798
2026-02-25,2,0.34085,0.6497604212323185,0.422188605,0.34085,0.7550683245074351
2026-02-27,1,0.9601,,,0.9601,0.7550683245074351
2026-03-01,1,0.9567,,,0.9567,
2026-03-02,2,0.7460500000000001,0.23157747083859437,0.05362812500000002,0.7460500000000001,0.4406689460354564
2026-03-03,2,0.936,0.0,0.0,0.936,0.29377929735697095
