id,published_utc,publisher,title,link,relatedTickers,uuid
1,2026-02-03 00:29:07+00:00,Insider Monkey,Dollar General Corporation (DG): A Bull Case Theory,https://finance.yahoo.com/news/dollar-general-corporation-dg-bull-002907823.html,,3cb15d79-d4fc-38f4-b5a9-a99ddcfdd58f
2,2026-02-01 13:15:00+00:00,Moneywise,"Bookstore manager, 26, lives in Manhattan on $53K a year by cutting costs. Is a low-cost routine the key?",https://finance.yahoo.com/news/bookstore-manager-26-lives-manhattan-131500133.html,,ff8f8b8a-cfe0-3b12-94cd-7792406b1458
3,2026-01-30 13:13:01+00:00,Simply Wall St.,Dollar Tree (DLTR) Valuation Check After Recent Share Price Volatility,https://finance.yahoo.com/news/dollar-tree-dltr-valuation-check-131301304.html,,80b8617a-81e7-3820-a752-f99a2dc5a710
4,2026-01-28 17:27:00+00:00,Zacks,Dollar Tree's Q3 Revenue & Comps Up: Can It Retain the Momentum?,https://finance.yahoo.com/news/dollar-trees-q3-revenue-comps-172700052.html,,24e4d4f4-4b7d-33cd-9aba-c7c54a2d9bea
5,2026-01-28 13:15:47+00:00,Insider Monkey,Do You Believe in Dollar Tree’s (DLTR) Exceptional Earnings Growth?,https://finance.yahoo.com/news/believe-dollar-tree-dltr-exceptional-131547598.html,,93d9e202-a313-3387-b20f-da7361d46e3b
6,2026-01-27 23:30:12+00:00,Exec Edge,Five Below CEO Winnie Park on Transforming Brand: ICR Conference 2026,https://finance.yahoo.com/news/five-below-ceo-winnie-park-233012545.html,,9b90e2e1-45af-3630-979d-bde14f1c369e
7,2026-01-26 13:30:00+00:00,Money Digest,How A Premium Coffee Brand Ends Up At Dollar Tree For $2,https://www.moneydigest.com/2083201/how-premium-coffee-brand-ends-up-at-2-dollars-dollar-tree/,,c5d3e45a-3535-3b45-a7d2-8061f16384d0
8,2026-01-25 16:33:00+00:00,TheStreet,Dollar Tree squanders huge opportunity with customers,https://www.thestreet.com/retail/dollar-tree-made-a-pricing-move-shoppers-have-been-asking-for,,fc998e32-966d-3ef7-baf6-9e473624ba71
9,2026-01-24 00:19:29+00:00,Simply Wall St.,Why The Narrative Around Dollar Tree (DLTR) Is Shifting With New Analyst Price Targets,https://finance.yahoo.com/news/why-narrative-around-dollar-tree-001929195.html,,62de372d-8444-3c82-b1ce-908603b24aa8
10,2026-01-23 19:33:00+00:00,TheStreet,"Dollar Tree adds a new, even lower price point",https://www.thestreet.com/retail/dollar-tree-quietly-makes-change-customers-have-wanted-for-years,,75567c58-50f8-3557-8242-6780aef1d4d0
11,2026-01-23 16:11:20+00:00,Insider Monkey,Dollar Tree (DLTR) Earnings Beat Drives Margin Improvement,https://finance.yahoo.com/news/dollar-tree-dltr-earnings-beat-161120768.html,,d1cc8deb-db7b-3ef7-8045-eef734be128c
12,2026-01-23 14:37:44+00:00,Yahoo Finance,Trump's attack on the affordability crisis makes these stocks buyable,https://finance.yahoo.com/news/trumps-attack-on-the-affordability-crisis-makes-these-stocks-buyable-143744052.html,,3732543d-5d76-4db2-be6b-79949b6a26c2
13,2026-01-23 13:48:31+00:00,Barchart,Dollar Tree's Quarterly Earnings Preview: What You Need to Know,https://www.barchart.com/story/news/37195834/dollar-tree-s-quarterly-earnings-preview-what-you-need-to-know,,05e721b0-e66e-3925-bfbd-3268d99eb913
14,2026-01-23 08:08:00+00:00,Zacks,"Zacks.com featured highlights include Industrial Logistics Properties, Plains GP, ASGN, California Water Service and Dollar Tree",https://finance.yahoo.com/news/zacks-com-featured-highlights-industrial-080800035.html,,0a46647a-06f7-3abf-9a04-06a8da5d4ee7
